UKPRN,Institution name,Main panel,UOA name,2013,2014,2015,2016,2017,2018,2019,Total,Average,Region
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",8.0,5.0,6.0,9.0,6.0,10.0,5.0,49.0,7.0,Wales
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,Business and Management Studies,8.0,6.0,21.0,20.0,36.0,30.0,20.0,141.0,20.142857142857142,Wales
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,Education,4.0,5.0,2.0,4.0,2.0,0.0,5.0,22.0,3.142857142857143,Wales
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,C,"Sport and Exercise Sciences, Leisure and Tourism",7.0,3.0,11.0,4.0,10.0,8.0,6.0,49.0,7.0,Wales
10007854,Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,D,"Art and Design: History, Practice and Theory",6.0,6.0,11.0,4.0,4.0,2.0,3.0,36.0,5.142857142857143,Wales
10007814,Cardiff University / Prifysgol Caerdydd,A,Clinical Medicine,43.5,44.5,30.0,40.5,39.5,38.0,31.0,267.0,38.142857142857146,Wales
10007814,Cardiff University / Prifysgol Caerdydd,A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",50.5,37.5,43.0,44.0,42.5,44.0,41.5,303.0,43.285714285714285,Wales
10007814,Cardiff University / Prifysgol Caerdydd,A,"Psychology, Psychiatry and Neuroscience",52.5,49.5,61.5,76.0,56.5,57.0,70.0,423.0,60.42857142857143,Wales
10007814,Cardiff University / Prifysgol Caerdydd,A,Biological Sciences,30.5,38.5,26.5,22.5,29.5,19.5,35.0,202.0,28.857142857142858,Wales
10007814,Cardiff University / Prifysgol Caerdydd,B,Earth Systems and Environmental Sciences,10.0,18.5,10.0,8.5,12.5,9.0,9.0,77.5,11.071428571428571,Wales
10007814,Cardiff University / Prifysgol Caerdydd,B,Chemistry,28.5,29.0,25.0,24.0,31.0,34.0,43.5,215.0,30.714285714285715,Wales
10007814,Cardiff University / Prifysgol Caerdydd,B,Physics,10.0,10.0,8.0,13.0,13.5,18.5,13.0,86.0,12.285714285714286,Wales
10007814,Cardiff University / Prifysgol Caerdydd,B,Mathematical Sciences,5.0,6.0,2.0,6.5,9.0,8.0,10.0,46.5,6.642857142857143,Wales
10007814,Cardiff University / Prifysgol Caerdydd,B,Computer Science and Informatics,6.5,9.0,7.5,13.5,8.5,8.5,9.0,62.5,8.928571428571429,Wales
